name,age,gender,country
J.K Rowling,57,Male,UK
Stephen King,75,Male,USA
John Green,45,Male,USA
Elif Shafak,51,Female,Turkey
Arundhati Roy,60,Female,India
Chetan Bhagat,48,Male,India
Ruskin Bond,88,Male,India
Kazuo Ishiguro,68,Male,Japan
Brian Evenson,56,Male,USA
Alice Walker,78,Female,USA
Khaled Hosseini,57,Male,Afghan
Daniel Lavery,35,Male,USA
George R R Martin,74,Male,USA
Rick Riordan,58,Male,USA
Alice Munro,91,Female,Canada
M T Vasudevan Nair,89,Male,India
Balachandran Chullikkadu,65,Male,India
R L Stine,79,Male,USA
Suzanne Collins,60,Female,USA
Joyce Carol Oates,84,Female,USA
David Mamet,74,Male,USA
Paulo Coelho,75,Male,Brazil
